rns,rns80,mrt,mrt80,smsa,smsa80,med,iq,kww,year,age,age80,s,s80,expr,expr80,tenure,tenure80,lw,lw80
0,1,0,1,1,1,12,108,41,66,18,32,13,13,0,12.30599976,1,2,5.520999908,7.888999939
0,0,0,1,0,0,18,129,40,69,27,38,18,18,0,8.062999725,1,12,6.015999794,6.501999855
0,0,1,1,1,1,17,132,42,73,24,32,16,17,1.475000024,8.395999908,2,9,6.357999802,7.484000206
0,0,0,1,1,1,8,92,24,68,19,31,13,13,0,8.553999901,2,10,5.520999908,6.662000179
0,0,1,1,1,1,15,106,35,69,20,31,13,13,0,10.81299973,1,12,6.147999763,7.150000095
0,0,1,1,1,1,13,105,37,73,21,29,16,16,2.269000053,8.696000099,0,2,5.857999802,6.571000099
0,0,1,1,1,0,12,123,46,69,25,36,17,18,0,10.90600014,3,7,6.323999882,6.986000061
0,0,1,1,1,1,8,108,48,66,24,38,12,12,6.333000183,20.59799957,2,11,5.752999783,6.539999962
0,0,0,1,1,1,12,122,47,70,23,33,16,17,0.469999999,10.35299969,1,9,6.236000061,7.184000015
0,0,1,1,1,1,12,109,44,66,24,38,12,12,1.712000012,15.6590004,1,4,5.991000175,7.122000217
0,0,1,1,1,1,10,100,40,68,26,38,12,13,0,11.69299984,3,15,5.627999783,6.934000015
0,0,1,1,1,1,14,125,50,69,23,34,18,18,0.795000017,11.79300022,1,12,6.09100008,7.46600008
0,0,0,0,1,1,12,122,41,73,27,35,14,14,1.868999958,8.824999809,7,15,6.109000206,6.888999939
0,0,1,1,1,1,12,105,34,71,21,30,16,17,0,7.414999962,2,11,5.441999912,6.645999908
0,0,0,1,1,1,12,94,37,69,22,33,16,16,0.423000008,11.23200035,1,5,5.552999973,7.051000118
0,0,1,1,1,1,12,102,36,66,20,34,12,12,2.167000055,16.01099968,3,5,5.617000103,7.052000046
0,0,0,1,1,1,12,109,47,73,30,38,12,13,6.532999992,13.52600002,4,12,6.176000118,6.693999767
0,0,1,1,1,1,12,105,45,66,24,38,12,12,8.100999832,22.04500008,2,14,5.703999996,7.002999783
1,1,1,1,1,1,12,134,46,71,28,37,18,18,0.906000018,9.75399971,1,10,5.545000076,7.051000118
0,0,0,0,1,1,12,108,32,68,17,29,12,12,0.922999978,13.02200031,0,9,5.383999825,7.467000008
0,0,1,1,1,1,12,104,36,73,22,30,16,16,2.441999912,11.27299976,1,8,5.888999939,6.907999992
0,0,1,1,1,1,12,112,35,69,18,29,12,12,0.462000012,10.78600025,1,1,5.164999962,6.135000229
0,0,0,0,1,1,11,120,49,71,23,32,18,18,0,7.938000202,3,12,5.627999783,6.644999981
0,0,0,0,1,0,17,124,40,71,22,31,16,16,1.18900001,8.798000336,1,3,5.337999821,6.774000168
1,0,0,1,1,1,12,103,34,68,17,29,12,12,0.462000012,12.11900043,1,7,5.308000088,7.225999832
0,0,0,1,1,1,12,115,45,73,22,30,16,17,0,1,0,7,5.745999813,7.281000137
0,0,1,1,1,1,6,96,33,66,21,35,12,12,3.332999945,17.13100052,1,12,5.572000027,6.684999943
0,0,1,1,1,1,12,123,48,70,26,36,17,17,0.884000003,10.08100033,4,7,5.624000072,7.46600008
0,0,0,1,1,1,12,98,34,68,17,29,12,12,0.377999991,12.28600025,3,12,5.164999962,7.047999859
0,0,1,1,1,1,12,96,34,66,21,35,12,12,4.333000183,18.40299988,1,13,5.635000229,6.732999802
0,0,1,1,1,1,12,89,47,67,25,38,12,12,5,16.5510006,5,2,5.857999802,6.885000229
0,0,0,0,1,1,9,93,20,70,18,28,12,12,0.374000013,10.24800014,1,10,5.236000061,6.427999973
0,0,0,1,1,1,12,82,32,66,19,33,12,12,1.916000009,12.29199982,1,0,5.520999908,6.09100008
0,0,1,1,1,0,12,120,45,69,27,38,15,15,1.378000021,11.62100029,2,1,6.551000118,6.396999836
0,0,1,1,1,1,12,122,38,71,23,32,12,12,5.323999882,15.33199978,6,15,6.06400013,7.21999979
0,0,1,1,1,1,12,117,48,73,25,33,18,18,1.467000008,8.326000214,2,2,6.729000092,7.403999805
0,0,1,1,1,1,8,109,44,73,28,36,16,16,1.618999958,8.482000351,5,13,6.388999939,7.282999992
1,0,1,1,1,1,12,114,55,69,27,38,17,18,1.462000012,12.39299965,1,7,6.357999802,7.744999886
0,0,1,1,1,1,12,126,40,70,21,31,16,16,0.551999986,10.46700001,1,11,6.224999905,7.427999973
0,0,0,1,1,1,11,82,45,68,21,33,12,12,0,10.20899963,3,2,5.297999859,7.118999958
0,0,0,1,1,1,12,119,45,69,21,32,16,16,0.941999972,11.32600021,1,4,5.96600008,6.750999928
0,0,1,1,1,1,12,104,37,68,23,35,16,16,0,5.656000137,1,8,5.896999836,6.977000237
0,0,1,1,1,1,12,97,45,66,22,36,12,12,3.460999966,17.33399963,1,15,5.583000183,6.907999992
0,0,0,1,1,0,14,105,27,71,22,31,14,15,0.221000001,8.105999947,1,2,5.520999908,6.514999866
0,0,0,1,1,1,7,100,32,68,18,30,12,12,2.25,13.57199955,1,1,5.762000084,7.002999783
0,0,1,1,1,1,12,114,41,67,18,31,12,12,0,4.789000034,1,14,5.370999813,6.903999805
0,0,1,1,1,1,8,96,48,66,23,37,11,11,1.582999945,15.22799969,2,3,5.743000031,7.090000153
0,0,0,0,1,1,12,113,30,73,21,29,15,15,2.681999922,9.326999664,1,8,6.357999802,7.434999943
0,1,0,1,1,1,14,106,38,66,22,36,10,10,3.332999945,14.54399967,1,3,5.480999947,6.531000137
0,0,1,1,1,1,8,104,37,69,21,32,13,13,0.128000006,9.050000191,4,5,5.743000031,6.625
0,0,0,1,1,1,12,104,30,73,22,30,12,13,0,3.809999943,0,2,6.109000206,6.723999977
0,0,0,1,1,0,16,122,36,70,20,30,12,13,0.381000012,8.222000122,1,1,5.297999859,6.361999989
0,0,0,1,1,1,12,96,38,66,20,34,12,12,0,13.43099976,3,3,5.415999889,6.510000229
0,0,0,1,1,1,16,95,51,69,25,36,15,15,2.308000088,12.41100025,0,9,5.846000195,7.823999882
0,0,0,0,1,1,16,105,24,69,20,31,12,12,0,4.861000061,1,8,5.822999954,6.980999947
0,0,1,1,1,1,12,91,41,73,25,33,17,17,1.177999973,8.18999958,2,9,6.684999943,7.078000069
0,0,1,1,1,1,12,96,37,71,22,31,16,16,0.753000021,9.371999741,1,7,5.421000004,6.724999905
0,0,0,1,1,1,9,111,44,68,19,31,14,15,0.377999991,12.30500031,1,9,5.370999813,7.022999763
0,0,0,1,1,1,9,110,35,68,19,31,14,16,0,1,1,11,5.520999908,6.763000011
0,0,0,1,1,1,9,97,37,73,21,29,16,16,4.532999992,10.11400032,0,7,5.991000175,6.693999767
0,0,0,0,1,1,8,125,44,73,27,35,17,18,0,6.393000126,4,12,6.609000206,7.169000149
0,0,0,1,0,1,9,91,39,66,22,36,12,12,0,6.334000111,3,12,5.730000019,6.806000233
0,0,0,1,0,1,8,86,28,66,23,37,11,12,3.259000063,17.19099998,1,15,5.699999809,6.802000046
0,0,1,1,1,1,9,110,32,66,21,35,12,12,3.332999945,17.58799934,2,0,5.505000114,6.438000202
0,1,1,1,0,1,12,92,47,66,22,36,14,14,2.332999945,15.77700043,1,1,5.55700016,7.368999958
0,0,1,1,0,1,9,85,41,66,24,38,10,10,1.378000021,15.30200005,2,16,5.370999813,6.868999958
0,0,1,1,0,1,8,120,36,73,26,34,17,17,0.35800001,7.335999966,1,8,6.438000202,7.339000225
0,0,1,1,1,0,12,106,42,73,25,33,12,12,6.886000156,11.42700005,0,6,6.309999943,7.012000084
0,1,0,0,0,1,12,112,41,70,21,31,16,16,0.236000001,6.322999954,1,6,5.730000019,7.156000137
0,0,1,1,1,1,10,91,39,66,24,38,10,12,0,12.58100033,1,2,6.152999878,6.646999836
0,0,1,1,1,1,10,90,42,66,24,38,12,12,2.644999981,16.18000031,3,0,5.991000175,6.907999992
0,0,0,1,0,0,12,113,27,68,17,29,12,12,0.096000001,10.6789999,1,10,5.074999809,6.619999886
0,0,1,1,1,1,12,111,51,66,24,38,12,13,0,5.037000179,2,16,5.822999954,6.482999802
0,0,0,1,1,1,12,111,30,67,20,33,12,12,2.378000021,15.30200005,1,3,5.197999954,6.399000168
0,0,0,1,1,1,8,106,32,70,18,28,12,13,0.451999992,10.28299999,1,11,5.011000156,6.396999836
0,0,0,0,0,1,12,98,28,68,18,30,12,12,0.231000006,11.44200039,1,10,5.164999962,6.071000099
0,0,0,1,0,1,12,105,28,68,18,30,12,12,0,11.14400005,1,7,5.497000217,7.079999924
0,0,1,1,0,0,10,105,29,66,19,33,10,12,0.977999985,14.93500042,1,15,5.602000237,6.453000069
0,0,1,1,1,1,12,118,44,70,22,32,13,13,0,9.357999802,4,14,6.18200016,7.111000061
0,0,1,1,1,1,12,90,38,66,22,36,12,12,4.666999817,18.61499977,5,19,5.816999912,7.047999859
0,0,0,0,1,1,9,95,34,67,19,32,12,12,0.981000006,14.53100014,3,11,5.056000233,6.763000011
0,0,1,1,1,1,12,112,24,71,20,29,13,14,0.411000013,9.296999931,3,5,6.059000015,6.938000202
0,0,1,1,1,1,12,120,39,71,23,32,12,12,0.402999997,9.31400013,2,11,5.991000175,6.955999851
0,0,0,1,1,1,12,123,41,68,17,29,12,12,0.377999991,11.75399971,1,1,5.164999962,6.907999992
0,0,0,1,1,1,16,103,32,70,20,30,12,13,0.782000005,10.23600006,1,11,6.059000015,7.007999897
0,0,1,1,1,1,16,121,40,70,25,35,18,18,0.896000028,10.7489996,1,7,6.438000202,7.561999798
0,0,1,1,1,1,12,90,44,68,26,38,16,16,0,9.152000427,4,16,6.06799984,7.204999924
0,0,0,1,1,1,12,125,32,71,20,29,12,12,2.65199995,11.47799969,1,10,5.56099987,6.696000099
0,0,0,1,1,1,9,109,34,73,24,32,18,18,3.186000109,10.1079998,0,3,6.323999882,7.309999943
1,0,0,0,1,0,10,128,46,68,21,33,16,16,0.404000014,9.984000206,1,1,6.074999809,7.204999924
0,0,0,1,1,1,12,97,35,66,17,31,12,12,0.333000004,9.871999741,1,4,5.820000172,7.090000153
0,1,1,1,1,1,12,96,35,66,19,33,12,12,0,6.179999828,1,0,5.297999859,6.215000153
0,0,0,1,1,1,12,97,44,68,16,28,12,12,0.768999994,11.79699993,1,5,5.366000175,7.18900013
0,0,1,1,1,1,7,112,39,71,25,34,12,12,4.985000134,14.98099995,1,3,6.333000183,6.684999943
0,0,1,1,1,1,2,88,32,66,24,38,12,12,4,16.36199951,1,7,5.256999969,6.684999943
0,0,1,1,1,1,14,97,39,66,22,36,12,12,1.14199996,15.19699955,2,16,5.857999802,6.940999985
0,0,1,1,1,1,6,101,41,66,22,36,12,12,0,3.907999992,2,12,5.520999908,6.888000011
0,0,1,1,1,1,7,106,42,67,21,34,10,10,5.333000183,18.6609993,1,12,5.438000202,6.78399992
0,0,0,0,1,1,8,59,28,73,26,34,10,10,6.321000099,10.76500034,0,5,5.297999859,6.173999786
0,0,1,1,1,1,12,105,54,73,26,34,18,18,0.372000009,7.272999763,6,14,6.234000206,6.828000069
0,0,0,0,1,1,12,119,30,70,21,31,16,17,0,8.010000229,1,5,5.565000057,6.239999771
0,0,0,0,1,1,8,93,36,67,24,37,11,11,4.402999878,17.22599983,3,16,5.617000103,7.007999897
0,1,1,1,1,1,12,82,38,66,22,36,12,12,4.717000008,18.58699989,5,10,5.56099987,7.084000111
0,0,0,1,1,1,16,134,45,71,25,34,18,18,0,6.303999901,1,7,6.071000099,7.927000046
0,0,0,1,1,1,8,84,29,70,20,30,12,12,0.395000011,9.350000381,1,6,6.215000153,6.657999992
0,0,0,1,1,1,12,98,36,69,20,31,11,11,2.961999893,12.66699982,3,6,5.703999996,6.855999947
0,0,0,1,1,0,13,118,41,73,22,30,16,16,4.05700016,10.94200039,1,8,5.656000137,7.239999771
0,0,1,1,1,1,12,113,50,73,25,33,17,17,3.711999893,12.71899986,2,9,5.837999821,7.309999943
0,0,0,1,1,1,9,100,18,70,18,28,12,12,1.307999969,4.460999966,1,3,5.297999859,6.477000237
0,0,0,1,1,1,12,93,27,69,18,29,12,13,0,8.616000175,2,5,5.488999844,6.506999969
1,0,1,1,1,1,12,119,30,71,23,32,16,16,0,5.014999866,1,8,6.027999878,7.026000023
0,0,0,1,1,1,12,106,38,70,22,32,14,15,0.388999999,8.463000298,2,0,5.520999908,7.784999847
0,0,0,0,1,1,10,127,49,73,28,36,17,18,2.378000021,9.373999596,6,14,6.763000011,7.548999786
0,0,0,1,1,1,12,113,35,68,21,33,15,16,0.731000006,10.04599953,1,9,6.215000153,6.630000114
0,0,0,1,1,1,12,115,36,70,19,29,13,14,0.395000011,9.074000359,1,1,5.837999821,7.131000042
0,0,0,1,1,1,12,102,40,73,23,31,16,16,1.004999995,7.818999767,3,11,6.296999931,7.058000088
0,0,1,1,1,0,12,117,51,69,21,32,16,16,0.462000012,11.39500046,1,12,6.125,7.002999783
0,0,0,1,1,1,10,125,34,73,20,28,16,16,0.204999998,6.794000149,0,5,5.635000229,6.571000099
0,0,1,1,1,0,8,118,47,66,23,37,16,16,2.167000055,16.10000038,3,17,5.837999821,7.184000015
0,0,1,1,1,1,12,121,40,71,29,38,18,18,4.971000195,13.96500015,1,3,6.644999981,7.251999855
0,0,1,1,1,1,12,115,51,68,26,38,17,17,0,3.894999981,4,4,6.357999802,7.678999901
0,0,1,1,1,0,12,120,44,71,27,36,13,14,2.461999893,11.24600029,7,16,6.28000021,7.149000168
0,0,1,1,1,1,11,109,43,69,24,35,12,12,5.131000042,16.13899994,4,15,5.868999958,7.039000034
0,0,0,0,1,1,12,109,28,67,17,30,12,13,0,7.03000021,1,4,5.164999962,6.359000206
0,0,1,1,0,0,12,85,50,71,29,38,12,12,10.07699966,17.42900085,2,8,6.119999886,6.964000225
0,0,0,1,1,1,11,106,32,73,21,29,14,14,1.537999988,8.520999908,2,9,5.672999859,6.619999886
0,0,1,1,1,1,10,101,30,67,17,30,12,12,0.377999991,11.38099957,1,6,5.011000156,6.907999992
0,0,0,1,1,1,12,116,40,67,17,30,12,12,0,9.12899971,1,7,5.528999805,6.857999802
0,0,0,1,1,1,7,91,24,67,18,31,12,12,0.962000012,12.93700027,1,2,4.941999912,6.453000069
0,0,0,1,1,1,11,91,28,66,20,34,12,12,0.333000004,12.52000046,3,1,4.913000107,7.131000042
0,0,0,1,1,1,7,110,34,66,20,34,9,12,0,6.090000153,1,15,5.415999889,6.514999866
0,0,1,1,1,1,7,75,33,73,24,32,12,12,6.699999809,11.29199982,0,6,5.164999962,5.991000175
0,0,0,1,1,1,12,94,17,71,20,29,12,12,0.963999987,8.630000114,1,8,5.074999809,6.357999802
1,0,0,1,1,0,12,109,27,71,20,29,13,13,1.583999991,10.49400043,1,7,6.020999908,6.380000114
0,0,1,1,0,0,8,122,38,71,22,31,16,16,0.874000013,9.80700016,1,10,5.706999779,6.828000069
0,0,0,0,1,1,11,102,26,71,23,32,12,12,0,5.548999786,2,2,5.297999859,7.131000042
0,0,1,1,1,1,8,122,38,70,23,33,14,14,2.688999891,10.52499962,1,8,5.583000183,7.002999783
0,0,1,1,1,1,10,105,38,66,23,37,12,12,4.377999783,17.74600029,2,2,5.586999893,7.03000021
0,0,0,0,1,1,9,113,37,66,22,36,12,12,2,14.13500023,2,4,5.493000031,6.480000019
0,0,1,1,1,1,8,104,34,73,22,30,12,12,3.931999922,6.31099987,0,2,5.872000217,6.427000046
0,0,1,1,1,1,9,124,43,73,26,34,16,16,0.377000004,7.309999943,6,14,6.176000118,6.868999958
0,0,0,1,0,0,12,110,31,67,19,32,12,13,1.218000054,13.80000019,1,11,5.19299984,6.270999908
0,0,0,1,1,0,12,95,37,66,19,33,12,12,1.832999945,15.66399956,1,14,5.520999908,6.705999851
0,0,1,1,0,0,18,120,39,73,24,32,16,16,1.422000051,8.44299984,2,9,6.125,6.868999958
0,0,0,1,0,0,12,105,39,66,24,38,12,12,4.964000225,18.97900009,1,15,5.263000011,6.732999802
0,0,0,1,0,0,12,121,30,73,20,28,16,16,0.481999993,6.724999905,0,4,5.888999939,6.763999939
0,0,1,1,1,1,8,96,42,70,26,36,12,14,0,1,7,1,6.585999966,7.784999847
0,0,0,1,0,1,9,110,26,66,18,32,12,12,2.135999918,15.97900009,1,2,5.528999805,7.026000023
0,0,0,1,0,0,12,92,32,67,18,31,12,12,0,8.104999542,1,8,5.164999962,7.056000233
0,0,1,1,1,1,9,98,34,71,29,38,12,12,7.991000175,14.61699963,4,5,6.071000099,6.583000183
0,0,1,1,1,1,11,109,43,67,23,36,15,16,0.846000016,14.10499954,1,13,5.758999825,7.482999802
0,0,0,1,1,0,11,118,44,67,23,36,17,18,0.331,13.30900002,1,5,5.999000072,7.551000118
0,0,1,1,1,1,14,97,42,69,23,34,16,18,0,7.276000023,3,14,5.872000217,6.918000221
0,0,1,1,1,1,16,95,42,71,28,37,17,17,0,5.322999954,2,11,6.09100008,6.877999783
0,0,1,1,1,1,10,99,40,73,26,34,12,12,1.866000056,8.694999695,3,2,6.176000118,6.263000011
0,0,1,1,0,0,10,106,31,68,18,30,12,12,0.377999991,12.01099968,1,13,5.540999889,6.263000011
0,0,0,1,1,0,12,117,33,68,18,30,12,12,0.962000012,9.68900013,1,3,5.460000038,6.506999969
0,0,1,1,0,0,12,90,47,66,23,37,12,12,6.377999783,18.55500031,7,4,5.520999908,6.215000153
0,0,0,1,1,1,12,95,44,66,21,35,12,12,4.5,18.48800087,1,15,5.209000111,6.309999943
0,0,0,1,1,1,12,115,43,66,18,32,12,12,1.332999945,14.15799999,1,1,5.454999924,6.215000153
0,0,0,0,1,1,12,106,40,71,22,31,14,15,1.503000021,10.45800018,5,5,5.635000229,6.589000225
0,0,0,1,0,0,8,114,26,68,18,30,12,12,0,6.458000183,1,8,5.297999859,6.763000011
0,1,0,1,0,1,12,92,34,70,20,30,12,13,0.717000008,8.465000153,2,2,5.793000221,6.986000061
0,0,1,1,0,0,13,119,36,73,23,31,16,17,1.707999945,8.664999962,2,9,6.306000233,7.172999859
0,0,0,1,0,0,13,85,32,70,20,30,13,13,0.677999973,6.447999954,1,1,4.927000046,6.354000092
0,0,0,1,0,0,12,98,34,71,21,30,16,16,0.365999997,7.077000141,1,1,5.857999802,6.434999943
0,0,1,1,0,0,12,114,30,73,20,28,12,13,1.457999945,8.407999992,3,10,5.586999893,6.243999958
0,0,1,1,0,1,8,84,42,66,23,37,18,18,0.377999991,14.33500004,1,4,5.011000156,7.149000168
0,0,1,1,0,0,16,108,42,66,19,33,13,13,0.333000004,12.51900005,1,9,5.152999878,6.897999763
0,0,1,1,0,0,8,107,32,67,20,33,12,12,4.066999912,15.57800007,1,6,5.402999878,6.396999836
0,0,1,1,0,0,16,84,35,66,24,38,12,12,3.211999893,16.9640007,3,2,5.451000214,7.056000233
0,0,1,1,0,0,10,86,22,69,18,29,12,12,0.377999991,11.25199986,2,9,5.164999962,6.215000153
0,0,0,1,0,0,10,88,27,66,21,35,12,12,3.378000021,17.2689991,4,18,5.540999889,6.677999973
0,0,1,1,1,1,12,117,45,70,23,33,16,16,0.875999987,9.845000267,1,7,6.136000156,7.131000042
0,0,0,0,1,1,12,110,42,73,22,30,16,16,5.768000126,12.60499954,2,9,6.191999912,6.921999931
0,0,1,1,1,1,9,104,32,71,24,33,12,13,4.897999763,12.60200024,1,3,6.619999886,7.131000042
0,0,0,1,1,1,9,110,26,70,19,29,13,14,0,3.917999983,3,13,5.670000076,6.816999912
0,0,1,1,1,1,11,99,33,73,22,30,16,16,3.121000051,8.562999725,1,8,5.951000214,7.204999924
0,0,0,1,1,1,12,117,31,70,18,28,12,14,0,7.025000095,1,1,5.670000076,7.131000042
0,0,1,1,0,1,8,85,39,71,23,32,16,16,0,8.352000237,1,2,5.710000038,6.710999966
0,0,1,1,0,1,11,114,36,73,21,29,16,16,4.190999985,9.444999695,0,7,5.846000195,6.677000046
0,0,1,1,0,0,12,107,30,73,21,29,15,18,0,6.267000198,5,3,5.690000057,6.254000187
0,0,1,1,1,1,12,117,41,69,26,37,18,18,0.628000021,11.53800011,1,12,6.40199995,7.455999851
0,0,1,1,1,1,16,112,47,73,30,38,18,18,2.397000074,9.347999573,3,10,6.644999981,7.561999798
0,0,1,1,1,1,14,106,46,71,28,37,18,18,1.013000011,9.812999725,1,2,6.421999931,7.052000046
0,0,0,1,1,1,12,116,38,70,21,31,14,15,0,9.369999886,1,4,5.846000195,7.678999901
0,0,0,1,1,1,8,123,44,70,21,31,14,14,0,8.345999718,3,7,5.953000069,6.828000069
0,0,0,1,1,1,8,118,40,68,21,33,16,16,0.377999991,12.38799953,1,13,6.071000099,7.017000198
0,0,1,1,1,1,12,103,29,69,23,34,12,12,0,9.927000046,1,11,6.5,7.313000202
0,0,1,1,1,1,8,114,40,66,23,37,12,14,5.333000183,19.68300056,2,3,5.649000168,6.717000008
0,0,1,1,1,1,12,102,36,66,21,35,12,12,4.272999763,16.38299942,5,8,5.099999905,6.842999935
0,0,0,1,1,1,6,104,36,66,22,36,12,12,4.732999802,18.72299957,1,15,5.59800005,6.886000156
0,0,0,0,1,1,14,112,43,66,19,33,14,14,0.377999991,14.26900005,1,12,5.56099987,6.938000202
0,0,0,1,1,1,12,107,39,68,18,30,12,12,0.345999986,9.737000465,1,1,5.693999767,7.147999763
0,1,1,1,1,1,12,117,36,71,25,34,13,14,4.933000088,15.7130003,3,12,5.872000217,7.034999847
0,0,1,1,1,1,12,96,42,66,19,33,12,12,0,8.494000435,2,9,5.297999859,7.199999809
0,0,0,1,1,1,8,97,27,69,18,29,12,12,0.354000002,9.925999641,1,6,5.914000034,6.84100008
0,1,0,1,1,0,8,99,29,69,19,30,10,10,2.628000021,12.03899956,1,2,5.394000053,5.927000046
0,0,0,0,1,1,8,126,44,70,21,31,14,14,0.906000018,10.2840004,3,1,5.78399992,6.835000038
0,0,0,1,1,0,12,109,49,67,25,38,17,17,0.981000006,13.08100033,1,4,5.886000156,7.052000046
0,0,0,1,1,1,12,119,48,68,21,33,16,16,0.057999998,12.47099972,0,1,4.941999912,6.433000088
0,0,1,1,1,1,12,102,38,73,21,29,16,16,3.142999887,10.03100014,1,1,5.857999802,6.735000134
0,0,0,0,1,1,9,105,45,66,24,38,17,18,0,7.263999939,1,15,5.352000237,6.644999981
0,0,0,1,1,0,12,117,40,71,20,29,16,17,0,7.907999992,1,5,5.665999889,6.375
0,0,0,1,1,1,12,112,40,66,24,38,16,16,3.25,17.2310009,4,18,5.934999943,7.561999798
0,0,0,1,1,1,8,89,28,67,16,29,10,12,0,7.423999786,0,3,5.356999874,6.964000225
0,0,0,0,1,1,12,131,39,70,18,28,12,12,0,7.043000221,1,1,5.758999825,6.032000065
0,0,1,1,1,1,16,114,28,73,20,28,16,16,0.815999985,6.488999844,0,6,6.296999931,7.092000008
0,0,0,1,1,1,10,98,35,66,23,37,12,14,4.711999893,17.89800072,6,2,5.736999989,7.051000118
0,0,0,1,1,1,12,125,30,71,20,29,13,14,1.360999942,10.00699997,2,11,6.039999962,7.092000008
0,0,0,1,1,1,10,100,38,69,25,36,16,18,2.378000021,13.3920002,1,3,5.837999821,6.566999912
0,0,0,1,1,1,8,113,26,70,18,28,12,12,0,6.576000214,4,3,5.617000103,6.744999886
0,0,0,1,1,1,10,102,46,68,23,35,16,16,1,13.49699974,1,11,5.663000107,6.907999992
0,0,0,0,1,1,12,82,33,73,23,31,18,18,0.377999991,7.302000046,5,8,5.438000202,6.195000172
0,0,1,1,1,1,12,112,47,66,21,35,14,14,1.575000048,15.39299965,2,4,5.65199995,6.907999992
1,1,0,1,1,1,8,111,38,73,23,31,16,16,0,10.90299988,0,4,5.402999878,6.763000011
0,0,0,1,1,1,11,96,24,69,19,30,13,13,0,2.789000034,1,3,5.297999859,7.225999832
0,0,0,1,1,1,16,127,48,66,23,37,16,16,1.332999945,15.60900021,1,12,5.693999767,7.368999958
0,0,0,1,1,1,8,97,47,67,24,37,14,15,1,13.98900032,1,14,6.215000153,7.379000187
0,1,1,1,1,1,12,120,50,69,25,36,14,14,0.795000017,11.85499954,2,13,6.619999886,8.031999588
0,0,0,0,1,1,16,101,41,73,27,35,16,16,0.397000015,7.386000156,2,9,5.991000175,6.800000191
